dbn,school_name,grade,year,demographic_category,demographic_variable,num_total_days,num_days_absent,num_days_present,percent_attendance,num_chronically_absent,percent_chronically_absent
02M543,New Design High School,All Grades,2017-18,SWD Status,Not SWD,49560,7019,42541,85.8,152,48.3
02M543,New Design High School,All Grades,2017-18,SWD Status,SWD,18003,3547,14456,80.3,65,54.2
02M543,New Design High School,All Grades,2016-17,Ethnicity,Asian,4001,357,3644,91.1,6,24
02M543,New Design High School,All Grades,2016-17,Ethnicity,Black,22282,3387,18895,84.8,69,47.6
02M543,New Design High School,All Grades,2016-17,Ethnicity,Hispanic,36157,4928,31229,86.4,99,43.8
02M543,New Design High School,All Grades,2016-17,Ethnicity,Other,1561,161,1400,89.7,2,20
02M543,New Design High School,All Grades,2016-17,Ethnicity,White,1212,213,999,82.4,4,50
02M543,New Design High School,All Grades,2017-18,Ethnicity,Asian,4471,322,4149,92.8,6,21.4
02M543,New Design High School,All Grades,2017-18,Ethnicity,Black,24388,3766,20622,84.6,77,48.4
02M543,New Design High School,All Grades,2017-18,Ethnicity,Hispanic,36360,6165,30195,83,127,54.7
02M543,New Design High School,All Grades,2017-18,Ethnicity,Other,1458,0,0,0,0,0
02M543,New Design High School,All Grades,2017-18,Ethnicity,White,886,0,0,0,0,0
02M543,New Design High School,All Grades,2016-17,Gender,Female,36631,4876,31755,86.7,101,43
02M543,New Design High School,All Grades,2016-17,Gender,Male,28582,4170,24412,85.4,79,44.1
02M543,New Design High School,All Grades,2017-18,Gender,Female,39996,6117,33879,84.7,133,52
02M543,New Design High School,All Grades,2017-18,Gender,Male,27567,4449,23118,83.9,84,46.9
02M543,New Design High School,All Grades,2016-17,Poverty,Not Poverty,19033,2038,16995,89.3,41,34.2
02M543,New Design High School,All Grades,2016-17,Poverty,Poverty,46180,7008,39172,84.8,139,47.3
02M543,New Design High School,All Grades,2017-18,Poverty,Not Poverty,13111,1495,11616,88.6,27,31.8
02M543,New Design High School,All Grades,2017-18,Poverty,Poverty,54452,9071,45381,83.3,190,54.3
02M543,New Design High School,All Grades,2016-17,ELL Status,ELL,4095,519,3576,87.3,11,44
02M543,New Design High School,All Grades,2016-17,ELL Status,Not ELL,61118,8527,52591,86,169,43.4
02M543,New Design High School,All Grades,2017-18,ELL Status,ELL,3452,607,2845,82.4,9,40.9
02M543,New Design High School,All Grades,2017-18,ELL Status,Not ELL,64111,9959,54152,84.5,208,50.4
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,All Students,All Students,113884,18835,95049,83.5,373,52.1
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,All Students,All Students,117696,15682,102014,86.7,311,42.9
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,SWD Status,Not SWD,85035,12729,72306,85,249,46.9
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,SWD Status,SWD,28849,6106,22743,78.8,124,67
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,SWD Status,Not SWD,88493,10704,77789,87.9,215,39.5
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,SWD Status,SWD,29203,4978,24225,83,96,53
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,Ethnicity,Asian,9366,918,8448,90.2,18,29
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,Ethnicity,Black,36772,6017,30755,83.6,114,49.6
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,Ethnicity,Hispanic,64180,11403,52777,82.2,230,57.4
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,Ethnicity,Other,1396,112,1284,92,3,33.3
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,Ethnicity,White,2170,385,1785,82.3,8,57.1
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,Ethnicity,Asian,12053,890,11163,92.6,19,25.7
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,Ethnicity,Black,32893,4783,28110,85.5,93,44.7
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,Ethnicity,Hispanic,69486,9483,60003,86.4,188,44.5
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,Ethnicity,Other,1120,123,997,89,3,42.9
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,Ethnicity,White,2144,403,1741,81.2,8,57.1
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,Gender,Female,47384,7436,39948,84.3,144,49.7
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,Gender,Male,66500,11399,55101,82.9,229,53.8
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,Gender,Female,47988,6642,41346,86.2,140,46.8
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,Gender,Male,69708,9040,60668,87,171,40.1
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,Poverty,Not Poverty,21163,4090,17073,80.7,76,54.3
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,Poverty,Poverty,92721,14745,77976,84.1,297,51.6
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,Poverty,Not Poverty,18951,1798,17153,90.5,32,27.6
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,Poverty,Poverty,98745,13884,84861,85.9,279,45.8
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,ELL Status,ELL,10722,1785,8937,83.4,36,50
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2016-17,ELL Status,Not ELL,103162,17050,86112,83.5,337,52.3
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,ELL Status,ELL,11676,1718,9958,85.3,37,49.3
08X367,"Archimedes Academy for Math, Science and Technolog",All Grades,2017-18,ELL Status,Not ELL,106020,13964,92056,86.8,274,42.2
11X275,High School of Computers and Technology,All Grades,2016-17,All Students,All Students,85356,10933,74423,87.2,141,25.9
11X275,High School of Computers and Technology,All Grades,2017-18,All Students,All Students,89705,11449,78256,87.2,190,32.5
11X275,High School of Computers and Technology,All Grades,2016-17,SWD Status,Not SWD,63668,6369,57299,90,81,20
11X275,High School of Computers and Technology,All Grades,2016-17,SWD Status,SWD,21688,4564,17124,79,60,42.9
11X275,High School of Computers and Technology,All Grades,2017-18,SWD Status,Not SWD,67579,7413,60166,89,121,27.8
11X275,High School of Computers and Technology,All Grades,2017-18,SWD Status,SWD,22126,4036,18090,81.8,69,46.6
11X275,High School of Computers and Technology,All Grades,2016-17,Ethnicity,Asian,5428,473,4955,91.3,6,17.6
11X275,High School of Computers and Technology,All Grades,2016-17,Ethnicity,Black,29523,4355,25168,85.2,47,25
11X275,High School of Computers and Technology,All Grades,2016-17,Ethnicity,Hispanic,47027,5932,41095,87.4,83,27.7
11X275,High School of Computers and Technology,All Grades,2016-17,Ethnicity,Other,1632,82,1550,95,2,20
11X275,High School of Computers and Technology,All Grades,2016-17,Ethnicity,White,1746,91,1655,94.8,3,25
11X275,High School of Computers and Technology,All Grades,2017-18,Ethnicity,Asian,6563,691,5872,89.5,8,19.5
11X275,High School of Computers and Technology,All Grades,2017-18,Ethnicity,Black,32121,4056,28065,87.4,62,29.4
11X275,High School of Computers and Technology,All Grades,2017-18,Ethnicity,Hispanic,47823,6374,41449,86.7,115,37
11X275,High School of Computers and Technology,All Grades,2017-18,Ethnicity,Other,1288,153,1135,88.1,2,25
11X275,High School of Computers and Technology,All Grades,2017-18,Ethnicity,White,1910,175,1735,90.8,3,23.1
11X275,High School of Computers and Technology,All Grades,2016-17,Gender,Female,12241,1675,10566,86.3,26,32.9
11X275,High School of Computers and Technology,All Grades,2016-17,Gender,Male,73115,9258,63857,87.3,115,24.7
11X275,High School of Computers and Technology,All Grades,2017-18,Gender,Female,12619,1415,11204,88.8,26,29.2
11X275,High School of Computers and Technology,All Grades,2017-18,Gender,Male,77086,10034,67052,87,164,33.1
11X275,High School of Computers and Technology,All Grades,2016-17,Poverty,Not Poverty,28497,3461,25036,87.9,45,24.9
11X275,High School of Computers and Technology,All Grades,2016-17,Poverty,Poverty,56859,7472,49387,86.9,96,26.4
11X275,High School of Computers and Technology,All Grades,2017-18,Poverty,Not Poverty,19404,1552,17852,92,27,21.3
11X275,High School of Computers and Technology,All Grades,2017-18,Poverty,Poverty,70301,9897,60404,85.9,163,35.7
11X275,High School of Computers and Technology,All Grades,2016-17,ELL Status,ELL,5877,1245,4632,78.8,16,39
11X275,High School of Computers and Technology,All Grades,2016-17,ELL Status,Not ELL,79479,9688,69791,87.8,125,24.9
11X275,High School of Computers and Technology,All Grades,2017-18,ELL Status,ELL,6898,1506,5392,78.2,28,58.3
11X275,High School of Computers and Technology,All Grades,2017-18,ELL Status,Not ELL,82807,9943,72864,88,162,30.2
12X251,Explorations Academy H.S.,All Grades,2016-17,All Students,All Students,56704,10861,45843,80.8,213,54.9
12X251,Explorations Academy H.S.,All Grades,2017-18,All Students,All Students,55266,9423,45843,82.9,173,47.9
12X251,Explorations Academy H.S.,All Grades,2016-17,SWD Status,Not SWD,42384,7130,35254,83.2,150,51.7
12X251,Explorations Academy H.S.,All Grades,2016-17,SWD Status,SWD,14320,3731,10589,73.9,63,64.3
12X251,Explorations Academy H.S.,All Grades,2017-18,SWD Status,Not SWD,41295,6101,35194,85.2,118,43.5
12X251,Explorations Academy H.S.,All Grades,2017-18,SWD Status,SWD,13971,3322,10649,76.2,55,61.1
12X251,Explorations Academy H.S.,All Grades,2016-17,Ethnicity,Asian,940,85,855,91,3,50
12X251,Explorations Academy H.S.,All Grades,2016-17,Ethnicity,Black,14691,2937,11754,80,58,54.7
12X251,Explorations Academy H.S.,All Grades,2016-17,Ethnicity,Hispanic,40220,7743,32477,80.7,149,55.2
12X251,Explorations Academy H.S.,All Grades,2016-17,Ethnicity,Other,189,0,0,0,0,0
12X251,Explorations Academy H.S.,All Grades,2016-17,Ethnicity,White,664,0,0,0,0,0
12X251,Explorations Academy H.S.,All Grades,2017-18,Ethnicity,Asian,899,0,0,0,0,0
12X251,Explorations Academy H.S.,All Grades,2017-18,Ethnicity,Black,15836,3047,12789,80.8,50,47.6
12X251,Explorations Academy H.S.,All Grades,2017-18,Ethnicity,Hispanic,37739,6160,31579,83.7,119,48.6
12X251,Explorations Academy H.S.,All Grades,2017-18,Ethnicity,Other,294,0,0,0,0,0
12X251,Explorations Academy H.S.,All Grades,2017-18,Ethnicity,White,498,0,0,0,0,0
12X251,Explorations Academy H.S.,All Grades,2016-17,Gender,Female,23641,5110,18531,78.4,112,65.9
12X251,Explorations Academy H.S.,All Grades,2016-17,Gender,Male,33063,5751,27312,82.6,101,46.3
12X251,Explorations Academy H.S.,All Grades,2017-18,Gender,Female,23237,4426,18811,81,84,55.6
12X251,Explorations Academy H.S.,All Grades,2017-18,Gender,Male,32029,4997,27032,84.4,89,42.4
12X251,Explorations Academy H.S.,All Grades,2016-17,Poverty,Not Poverty,3285,831,2454,74.7,17,68
12X251,Explorations Academy H.S.,All Grades,2016-17,Poverty,Poverty,53419,10030,43389,81.2,196,54
12X251,Explorations Academy H.S.,All Grades,2017-18,Poverty,Not Poverty,3713,559,3154,84.9,9,37.5
12X251,Explorations Academy H.S.,All Grades,2017-18,Poverty,Poverty,51553,8864,42689,82.8,164,48.7
12X251,Explorations Academy H.S.,All Grades,2016-17,ELL Status,ELL,12783,2222,10561,82.6,45,50.6
12X251,Explorations Academy H.S.,All Grades,2016-17,ELL Status,Not ELL,43921,8639,35282,80.3,168,56.2
12X251,Explorations Academy H.S.,All Grades,2017-18,ELL Status,ELL,12310,2303,10007,81.3,43,53.1
12X251,Explorations Academy H.S.,All Grades,2017-18,ELL Status,Not ELL,42956,7120,35836,83.4,130,46.4
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,All Students,All Students,136738,21697,115041,84.1,389,42.8
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,All Students,All Students,121536,19287,102249,84.1,337,41.7
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,SWD Status,Not SWD,108844,15726,93118,85.6,285,39.6
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,SWD Status,SWD,27894,5971,21923,78.6,104,55
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,SWD Status,Not SWD,97263,13980,83283,85.6,246,38.3
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,SWD Status,SWD,24273,5307,18966,78.1,91,54.8
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,Ethnicity,Asian,489,0,0,0,0,0
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,Ethnicity,Black,50483,8431,42052,83.3,161,48.9
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,Ethnicity,Hispanic,81829,12623,69206,84.6,218,39.6
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,Ethnicity,Other,2093,221,1872,89.4,3,21.4
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,Ethnicity,White,1844,0,0,0,0,0
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,Ethnicity,Asian,492,0,0,0,0,0
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,Ethnicity,Black,38690,7208,31482,81.4,132,51.2
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,Ethnicity,Hispanic,78343,11250,67093,85.6,191,36.7
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,Ethnicity,Other,2361,455,1906,80.7,5,31.3
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,Ethnicity,White,1650,0,0,0,0,0
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,Gender,Female,63062,9179,53883,85.4,169,41
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,Gender,Male,73676,12518,61158,83,220,44.4
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,Gender,Female,56717,8412,48305,85.2,145,39
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,Gender,Male,64819,10875,53944,83.2,192,43.9
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,Poverty,Not Poverty,22327,3587,18740,83.9,67,43.8
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,Poverty,Poverty,114411,18110,96301,84.2,322,42.6
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,Poverty,Not Poverty,12852,1695,11157,86.8,36,40
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,Poverty,Poverty,108684,17592,91092,83.8,301,41.9
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,ELL Status,ELL,20221,3242,16979,84,61,43.9
14K474,PROGRESS High School for Professional Careers,All Grades,2016-17,ELL Status,Not ELL,116517,18455,98062,84.2,328,42.7
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,ELL Status,ELL,20688,2988,17700,85.6,53,36.1
14K474,PROGRESS High School for Professional Careers,All Grades,2017-18,ELL Status,Not ELL,100848,16299,84549,83.8,284,42.9
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,All Students,All Students,88103,3493,84610,96,36,6.9
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,All Students,All Students,92764,3351,89413,96.4,37,6.8
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,SWD Status,Not SWD,85233,3077,82156,96.4,31,6.2
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,SWD Status,SWD,2870,416,2454,85.5,5,29.4
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,SWD Status,Not SWD,88163,2798,85365,96.8,25,4.9
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,SWD Status,SWD,4601,553,4048,88,12,41.4
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,Ethnicity,Asian,40369,1366,39003,96.6,14,5.9
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,Ethnicity,Black,2309,295,2014,87.2,4,28.6
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,Ethnicity,Hispanic,14598,719,13879,95.1,10,11.5
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,Ethnicity,Other,3618,95,3523,97.4,0,0
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,Ethnicity,White,27209,1018,26191,96.3,8,5
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,Ethnicity,Asian,42813,1197,41616,97.2,13,5.2
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,Ethnicity,Black,3412,293,3119,91.4,5,25
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,Ethnicity,Hispanic,15772,708,15064,95.5,9,9.7
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,Ethnicity,Other,4349,176,4173,96,3,11.5
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,Ethnicity,White,26418,977,25441,96.3,7,4.5
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,Gender,Female,49657,1898,47759,96.2,21,7.2
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,Gender,Male,38446,1595,36851,95.9,15,6.7
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,Gender,Female,54175,1715,52460,96.8,15,4.7
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,Gender,Male,38589,1636,36953,95.8,22,9.7
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,Poverty,Not Poverty,51052,1663,49389,96.7,16,5.4
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,Poverty,Poverty,37051,1830,35221,95.1,20,9.1
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,Poverty,Not Poverty,52001,1595,50406,96.9,13,4.3
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,Poverty,Poverty,40763,1756,39007,95.7,24,10
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,ELL Status,ELL,504,0,0,0,0,0
30Q580,Baccalaureate School for Global Education,All Grades,2016-17,ELL Status,Not ELL,87599,0,0,0,0,0
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,ELL Status,ELL,1020,62,958,93.9,1,16.7
30Q580,Baccalaureate School for Global Education,All Grades,2017-18,ELL Status,Not ELL,91744,3289,88455,96.4,36,6.7
10X342,International School for Liberal Arts,All Grades,2016-17,All Students,All Students,86860,6303,80557,92.7,92,16.6
10X342,International School for Liberal Arts,All Grades,2017-18,All Students,All Students,87200,7143,80057,91.8,103,18.6
10X342,International School for Liberal Arts,All Grades,2016-17,SWD Status,Not SWD,80104,5878,74226,92.7,83,16.2
10X342,International School for Liberal Arts,All Grades,2016-17,SWD Status,SWD,6756,425,6331,93.7,9,20.9
10X342,International School for Liberal Arts,All Grades,2017-18,SWD Status,Not SWD,80810,6700,74110,91.7,97,18.8
10X342,International School for Liberal Arts,All Grades,2017-18,SWD Status,SWD,6390,443,5947,93.1,6,15.4
10X342,International School for Liberal Arts,All Grades,2016-17,Ethnicity,Black,254,0,0,0,0,0
10X342,International School for Liberal Arts,All Grades,2016-17,Ethnicity,Hispanic,86268,6294,79974,92.7,92,16.7
10X342,International School for Liberal Arts,All Grades,2016-17,Ethnicity,White,338,0,0,0,0,0
10X342,International School for Liberal Arts,All Grades,2017-18,Ethnicity,Asian,162,0,0,0,0,0
10X342,International School for Liberal Arts,All Grades,2017-18,Ethnicity,Black,329,0,0,0,0,0
10X342,International School for Liberal Arts,All Grades,2017-18,Ethnicity,Hispanic,86634,7119,79515,91.8,103,18.7
10X342,International School for Liberal Arts,All Grades,2017-18,Ethnicity,White,75,0,0,0,0,0
10X342,International School for Liberal Arts,All Grades,2016-17,Gender,Female,41051,3300,37751,92,47,17.8
10X342,International School for Liberal Arts,All Grades,2016-17,Gender,Male,45809,3003,42806,93.4,45,15.5
10X342,International School for Liberal Arts,All Grades,2017-18,Gender,Female,42575,3303,39272,92.2,45,16.5
10X342,International School for Liberal Arts,All Grades,2017-18,Gender,Male,44625,3840,40785,91.4,58,20.5
10X342,International School for Liberal Arts,All Grades,2016-17,Poverty,Not Poverty,7945,1294,6651,83.7,22,40
10X342,International School for Liberal Arts,All Grades,2016-17,Poverty,Poverty,78915,5009,73906,93.7,70,14
10X342,International School for Liberal Arts,All Grades,2017-18,Poverty,Not Poverty,831,0,0,0,0,0
10X342,International School for Liberal Arts,All Grades,2017-18,Poverty,Poverty,86369,0,0,0,0,0
10X342,International School for Liberal Arts,All Grades,2016-17,ELL Status,ELL,57286,4594,52692,92,64,17.4
10X342,International School for Liberal Arts,All Grades,2016-17,ELL Status,Not ELL,29574,1709,27865,94.2,28,15.1
10X342,International School for Liberal Arts,All Grades,2017-18,ELL Status,ELL,59469,5786,53683,90.3,83,21.4
10X342,International School for Liberal Arts,All Grades,2017-18,ELL Status,Not ELL,27731,1357,26374,95.1,20,11.9
19K618,Academy of Innovative Technology,All Grades,2016-17,All Students,All Students,63316,7863,55453,87.6,144,35.8
19K618,Academy of Innovative Technology,All Grades,2017-18,All Students,All Students,65951,8587,57364,87,159,38.3
19K618,Academy of Innovative Technology,All Grades,2016-17,SWD Status,Not SWD,48637,5621,43016,88.4,106,34.4
19K618,Academy of Innovative Technology,All Grades,2016-17,SWD Status,SWD,14679,2242,12437,84.7,38,40.4
19K618,Academy of Innovative Technology,All Grades,2017-18,SWD Status,Not SWD,51365,6059,45306,88.2,116,35.8
19K618,Academy of Innovative Technology,All Grades,2017-18,SWD Status,SWD,14586,2528,12058,82.7,43,47.3
19K618,Academy of Innovative Technology,All Grades,2016-17,Ethnicity,Asian,3586,336,3250,90.6,7,31.8
19K618,Academy of Innovative Technology,All Grades,2016-17,Ethnicity,Black,27221,3218,24003,88.2,62,35.6
19K618,Academy of Innovative Technology,All Grades,2016-17,Ethnicity,Hispanic,29527,4074,25453,86.2,71,38
19K618,Academy of Innovative Technology,All Grades,2016-17,Ethnicity,Other,1792,115,1677,93.6,1,9.1
19K618,Academy of Innovative Technology,All Grades,2016-17,Ethnicity,White,1190,120,1070,89.9,3,37.5
19K618,Academy of Innovative Technology,All Grades,2017-18,Ethnicity,Asian,3448,355,3093,89.7,6,28.6
19K618,Academy of Innovative Technology,All Grades,2017-18,Ethnicity,Black,27223,3158,24065,88.4,52,30.2
19K618,Academy of Innovative Technology,All Grades,2017-18,Ethnicity,Hispanic,31798,4733,27065,85.1,96,48
19K618,Academy of Innovative Technology,All Grades,2017-18,Ethnicity,Other,2124,229,1895,89.2,3,23.1
19K618,Academy of Innovative Technology,All Grades,2017-18,Ethnicity,White,1358,112,1246,91.8,2,22.2
19K618,Academy of Innovative Technology,All Grades,2016-17,Gender,Female,10682,1356,9326,87.3,25,36.8
19K618,Academy of Innovative Technology,All Grades,2016-17,Gender,Male,52634,6507,46127,87.6,119,35.6
19K618,Academy of Innovative Technology,All Grades,2017-18,Gender,Female,11483,1475,10008,87.2,32,43.2
19K618,Academy of Innovative Technology,All Grades,2017-18,Gender,Male,54468,7112,47356,86.9,127,37.2
19K618,Academy of Innovative Technology,All Grades,2016-17,Poverty,Not Poverty,9737,1109,8628,88.6,23,37.1
19K618,Academy of Innovative Technology,All Grades,2016-17,Poverty,Poverty,53579,6754,46825,87.4,121,35.6
19K618,Academy of Innovative Technology,All Grades,2017-18,Poverty,Not Poverty,8973,960,8013,89.3,22,38.6
19K618,Academy of Innovative Technology,All Grades,2017-18,Poverty,Poverty,56978,7627,49351,86.6,137,38.3
19K618,Academy of Innovative Technology,All Grades,2016-17,ELL Status,ELL,6195,1012,5183,83.7,15,39.5
19K618,Academy of Innovative Technology,All Grades,2016-17,ELL Status,Not ELL,57121,6851,50270,88,129,35.4
19K618,Academy of Innovative Technology,All Grades,2017-18,ELL Status,ELL,6465,1140,5325,82.4,22,53.7
19K618,Academy of Innovative Technology,All Grades,2017-18,ELL Status,Not ELL,59486,7447,52039,87.5,137,36.6
02M294,Essex Street Academy,All Grades,2016-17,All Students,All Students,54471,6970,47501,87.2,119,34.2
02M294,Essex Street Academy,All Grades,2017-18,All Students,All Students,54645,7080,47565,87,138,40.2
02M294,Essex Street Academy,All Grades,2016-17,SWD Status,Not SWD,39002,4392,34610,88.7,78,31.5
02M294,Essex Street Academy,All Grades,2016-17,SWD Status,SWD,15469,2578,12891,83.3,41,41
02M294,Essex Street Academy,All Grades,2017-18,SWD Status,Not SWD,41159,5292,35867,87.1,103,40.1
02M294,Essex Street Academy,All Grades,2017-18,SWD Status,SWD,13486,1788,11698,86.7,35,40.7
